,Unnamed: 0,Tempbyduration,Humibyduration,Presbyduration,Dewbyduration,Visibyduration,trips number,subscriber ratio,morning rate,afternoon rate,evening rate,night rate,mean_household_income,commuting_to_work_perc_PT,mean_work_commuting_time_min,perc_HS_or_higher,perc_bachelor_or_higher,start_crime_score,end_crime_score
2614,2979,70.12479704797049,0.6327536900369003,30.051083948339482,56.025184501845025,10.0,9,0.7777777777777778,0.5553505535055351,0.2686346863468635,0.07103321033210333,0.055719557195571964,74285.0,5.0,23.0,0.69,0.16999999999999998,752.3333333333335,752.3333333333335
2615,2943,78.1,0.33,29.870000000000005,46.9,10.0,1,1.0,0.0,1.0,0.0,0.0,77278.0,8.6,26.8,0.81,0.26,285.3333333333333,285.3333333333333
2616,1449,54.881368493622894,0.5306997587038952,30.09407100999655,37.48765942778352,9.85108583247156,8,1.0,0.17993795243019647,0.3560841089279559,0.3615994484660462,0.10237849017580143,132599.0,7.0,20.1,0.93,0.6,96.33333333333331,88.13333333333333
2617,2787,66.39952763360922,0.6979991583672324,29.89290068733343,55.816203534857635,9.973839248141395,68,0.5,0.1392060597559265,0.2887501753401599,0.4195258802076027,0.11509328096507225,154033.10294117648,26.089705882352945,28.207352941176467,0.8904411764705883,0.6164705882352934,2897.7696078431377,2889.1029411764703
2618,2462,65.8597885029165,0.6359895650659795,29.98541064388144,52.44337518500552,9.986614927303707,429,0.8275058275058275,0.211713493277614,0.2972899021180801,0.332266208972302,0.047229580985784114,146699.99045346063,27.198329355608603,28.17804295942714,0.8845107398568041,0.5983532219570409,3277.2044550517085,3280.018167456562
2619,33,61.967535853976536,0.6611603650586702,30.013007388092127,49.79856584093872,25.698174706649283,4,0.25,0.24728378965667103,0.0,0.621903520208605,0.0,195928.0,6.3,23.15,0.97,0.76,322.25,322.25
2620,3199,50.74148407148408,0.559567599067599,30.160850621600627,36.07574397824398,18.35668220668221,13,0.5384615384615384,0.14743589743589744,0.19673659673659674,0.5613053613053613,0.04685314685314685,199152.61538461535,6.023076923076923,22.79230769230769,0.9692307692307692,0.7484615384615385,351.3846153846154,380.0
2621,2051,69.34578832752612,0.5208562717770036,29.93493510452961,47.41603876306622,10.0,20,0.85,0.3787456445993032,0.1421602787456446,0.272212543554007,0.2068815331010453,92600.6,11.474999999999998,27.605,0.8334999999999997,0.4164999999999998,746.05,712.6666666666669
2622,817,66.4098019109006,0.5834044020704137,29.97489763904488,50.60883018376547,10.156568924263881,85,0.9058823529411764,0.14690658723570488,0.17110210459495093,0.4653059231407784,0.06484691635333757,136893.14545454545,6.574545454545458,21.18000000000001,0.9338181818181815,0.6190909090909095,89.41515151515152,86.08484848484852
2623,3388,59.90000000000001,0.5,30.185,41.0,7.0,1,0.0,0.0,1.0,0.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
