,bike_group,duration,Tempbyduration,Humibyduration,Presbyduration,Dewbyduration,Visibyduration,trips number,subscriber ratio,morning rate,afternoon rate,evening rate,night rate,mean_household_income,commuting_to_work_perc_PT,mean_work_commuting_time_min,perc_HS_or_higher,perc_bachelor_or_higher,start_crime_score,end_crime_score
1245,256_2,2120,62.10896226415095,0.5318962264150944,30.030358490566037,44.54254716981132,10.0,4,1.0,0.0,0.7632075471698113,0.23679245283018868,0.0,98750.0,15.3,31.0,0.94,0.6,1153.3333333333333,986.4166666666665
1246,256_3,2215,54.5206546275395,0.7514446952595937,30.03612415349887,46.046388261851014,9.227088036117381,5,1.0,0.2076749435665914,0.0,0.2812641083521445,0.3178329571106095,93395.6,12.540000000000001,28.7,0.868,0.466,846.2,846.2
1247,256_4,6683,50.442735298518635,0.5996483615142901,30.122551249438867,34.88247792907377,9.364506957953015,11,0.9090909090909091,0.21666916055663624,0.11177614843633099,0.3483465509501721,0.11042944785276074,89014.72727272728,10.281818181818181,26.818181818181817,0.809090909090909,0.3563636363636364,594.9090909090909,619.1818181818181
1248,256_5,4586,65.57352812908853,0.2575774095071958,29.8717182730048,29.35549498473615,10.0,2,0.0,0.0,1.0,0.0,0.0,85364.0,8.399999999999999,25.25,0.76,0.265,385.5,285.3333333333333
1249,256_6,51717,69.70878047837266,0.5807714097878839,29.934268035655585,53.777670785235024,14.62343136686196,38,0.7631578947368421,0.028153218477483227,0.441344238838293,0.4315795579790011,0.04253920374344993,125486.21621621621,9.013513513513516,25.57027027027028,0.8600000000000003,0.4908108108108106,522.40990990991,468.274774774775
1250,257_0,7073,73.48259578679486,0.5740152693340874,29.91577265658137,57.19345397992366,21.550968471652762,5,0.8,0.4224515764173618,0.0815778311890287,0.4959705923936095,0.0,171290.6,6.76,22.7,0.954,0.704,220.2,150.06666666666666
1251,257_1,647,68.0,0.81,29.99,62.10000000000001,10.0,1,1.0,0.0,0.0,1.0,0.0,132599.0,7.0,20.1,0.93,0.6,96.33333333333331,96.33333333333331
1252,257_2,709,77.9,0.26,30.02,40.1,30.0,1,1.0,0.0,0.0,1.0,0.0,171988.0,6.3,23.2,0.96,0.73,197.5,447.0
1253,257_3,245,53.6,0.88,30.035,50.0,2.5,1,1.0,1.0,0.0,0.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
1254,257_4,6074,58.16731972341126,0.6890239819997804,30.06435654703106,47.55426407639117,8.262923938096806,7,0.14285714285714285,0.20925255186038855,0.4185051037207771,0.3256503128086928,0.04659203161014159,74285.0,5.0,23.0,0.6900000000000001,0.16999999999999998,752.3333333333334,752.3333333333334
